,clust1,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
0,2,0.0,0.0,0.09411764705882353,0.21293532338308457,0.0024059543041772442,0.0,0.13333333333333333,0.0,0.003202045830483075
1,2,0.09859154929577464,0.9771954390878176,0.2,0.6208955223880598,0.07090930071543965,0.0,0.0,0.10962992885836757,0.0838552999754139
2,2,0.23943661971830985,0.22664532906581317,0.611764705882353,0.7681592039800995,0.20006346642049389,0.9160473990761198,0.0,0.057210664512219754,0.15801330994030766
3,0,0.3380281690140845,0.39527905581116224,0.1411764705882353,0.7985074626865671,0.2879875375028848,0.2697328780879695,0.0,0.13858030925290069,0.248679960996757
4,0,0.5070422535211268,0.126625325065013,0.16470588235294117,0.5796019900497512,0.3287964458804523,0.0,0.0,0.06570221504073252,0.25765221216292383
5,0,0.36619718309859156,0.0666133226645329,0.21176470588235294,0.5950248756218905,0.24425340410800828,0.0,0.06666666666666667,0.025222177337911534,0.18515250903580704
6,2,0.0,0.30566113222644525,0.35294117647058826,0.5194029850746269,0.005960073851834757,0.0,0.0,0.004286451670818465,0.005383016195042976
7,2,0.8028169014084507,0.0,0.2823529411764706,0.2691542288557214,0.30376182783291017,0.8224543080939949,0.0,0.0,0.2164989404564985
8,2,0.19718309859154928,0.8815763152630526,0.2235294117647059,0.5592039800995026,0.13003692591737828,0.0,0.0,0.18544233488184206,0.14930531745328227
9,2,0.08450704225352113,0.5391078215643128,0.21176470588235294,0.5791044776119403,0.0559427648280637,0.22193211488250655,0.0,0.052921407571983214,0.05517988824199405
10,2,0.14084507042253522,0.23184636927385477,0.3411764705882353,0.763681592039801,0.1271059312254789,0.0,0.8,0.035764379811037056,0.11259677637861915
11,2,0.19718309859154928,0.5823164632926585,0.3411764705882353,0.5587064676616916,0.12179783060235402,0.0,0.0,0.12249208914024103,0.12456869805769871
12,2,0.0,0.0,0.1411764705882353,0.218407960199005,0.0024694207246711286,0.0,0.0,0.0,0.0015755169351345298
13,2,0.028169014084507043,0.0,0.32941176470588235,0.22786069651741292,0.013085621970920839,0.0,0.0,0.0,0.009269124049379577
14,2,0.16901408450704225,0.6537307461492298,0.12941176470588237,0.882089552238806,0.15526194322640202,0.0,0.06666666666666667,0.11917906595749456,0.14866892234307133
15,2,0.2112676056338028,0.1886377275455091,0.10588235294117647,0.7582089552238807,0.17221324717285946,0.0,0.0,0.04232590497991427,0.1372071202661319
16,2,0.09859154929577464,0.035607121424284856,0.08235294117647059,0.5597014925373134,0.06782252480960074,0.0,0.0,0.0039947036513386745,0.05012803165752075
17,2,0.323943661971831,0.6175235047009402,0.17647058823529413,0.5756218905472636,0.19546503577198246,0.0,0.0,0.20783680064633409,0.2033972292979249
18,2,0.04225352112676056,0.6323264652930586,0.023529411764705882,0.7681592039800995,0.04353796445880453,0.0,0.0,0.03546982652213919,0.04191176101649275
19,0,0.43661971830985913,0.9469893978795759,0.11764705882352941,0.5636815920398011,0.26362220170782363,0.0,0.0,0.4249646536053323,0.3175176743898217
20,2,0.323943661971831,0.32206441288257653,0.1411764705882353,0.7452736318407961,0.2552792522501731,0.0,0.0,0.10839561031441461,0.2171010488393525
21,0,0.7464788732394366,0.24164832966593316,0.058823529411764705,0.6388059701492538,0.499803831063928,0.0,0.0,0.18299333467986267,0.4165469418747983
22,2,0.014084507042253521,0.2634526905381076,0.11764705882352941,0.5184079601990049,0.013876067389799218,0.0,0.0,0.007389079647209318,0.012044676442007766
23,2,0.28169014084507044,0.0,0.09411764705882353,0.2353233830845771,0.0947726748211401,0.0,0.0,0.0,0.06846808574692381
24,2,0.36619718309859156,0.0,0.15294117647058825,0.12437810945273632,0.09073390260789292,0.0,0.9333333333333333,0.0,0.0772488329968774
25,2,0.14084507042253522,0.5909181836367273,0.0,0.016915422885572132,0.022611354719593815,0.0,0.0,0.0911544244709262,0.04334594973398518
26,0,0.7605633802816901,0.8565713142628525,0.3176470588235294,0.6686567164179105,0.5603392568659127,0.0,0.6,0.6606690006508226,0.6103405424662025
27,2,0.028169014084507043,0.1844368873774755,0.16470588235294117,0.6278606965174128,0.024798061389337638,0.0,0.0,0.007759375210395208,0.020070279428465343
28,2,0.0,0.7019403880776156,0.2,0.5676616915422885,0.006519732287099007,0.0,0.13333333333333333,0.009843690388024868,0.009117760692023235
29,2,0.056338028169014086,0.0,0.3058823529411765,0.10149253731343283,0.01295291945534272,0.0,0.0,0.0,0.009172953960451516
30,2,0.2676056338028169,0.9747949589917982,0.1411764705882353,0.7547263681592039,0.2035079621509347,0.0,0.5333333333333333,0.2734015574855809,0.235461173208184
31,2,0.056338028169014086,0.915383076615323,0.25882352941176473,0.5582089552238806,0.036464343411031615,0.0,0.0,0.06418456428555398,0.04534545132204603
32,0,0.36619718309859156,0.14042808561712342,0.29411764705882354,0.5666666666666667,0.22046503577198245,0.0,0.0,0.05317107655019188,0.17540838837328712
33,2,0.04225352112676056,0.9671934386877376,0.2823529411764706,0.7059701492537314,0.03777982921763212,0.0,0.0,0.0542539105455688,0.0433384233791995
34,2,0.0,0.916383276655331,0.24705882352941178,0.6711442786069652,0.0077198246018924535,0.0,0.0,0.012850939204201172,0.009211421996022739
35,0,0.9014084507042254,0.367873574714943,0.32941176470588235,0.8656716417910447,0.7809369951534733,0.0,0.0,0.3353278798895847,0.6656968819148386
36,0,0.676056338028169,0.45849169833966796,0.16470588235294117,0.7144278606965174,0.5225536579736902,0.0,0.0,0.31505419780515725,0.4724016932625745
37,0,0.5915492957746479,0.29045809161832364,0.058823529411764705,0.9203980099502488,0.5387837525963535,0.0,0.0,0.1751498013869252,0.442457672616947
38,0,0.7746478873239436,0.9761952390478095,0.1411764705882353,0.8587064676616916,0.6664954996538195,0.0,0.0,0.7666240265715119,0.7113316797653114
39,2,0.2676056338028169,0.10622124424884975,0.11764705882352941,0.7592039800995024,0.21703784906531273,0.0,0.0,0.029791961219955563,0.16595528676247998
40,2,0.014084507042253521,0.9495899179835967,0.2235294117647059,0.7089552238805971,0.01646665128086776,0.0,0.0,0.026633227855203216,0.019658838700181803
41,2,0.09859154929577464,0.5591118223644729,0.0,0.013930348258706454,0.016789753057927532,0.0,0.0,0.06272582418815503,0.030652334257123694
42,0,0.7183098591549296,0.0,0.21176470588235294,0.3074626865671642,0.2921878606046619,0.0,0.2,0.0,0.21404451253472576
43,2,0.014084507042253521,0.8799759951990398,0.3176470588235294,0.30845771144278605,0.008342949457650588,0.0,0.0,0.02468076034022308,0.013189518631073139
44,0,0.4507042253521127,0.5557111422284456,0.09411764705882353,0.7587064676616916,0.3561908608354489,0.0,0.0,0.2571702686325995,0.33458242947387434
45,0,0.4084507042253521,0.9177835567113423,0.2235294117647059,0.7308457711442786,0.3161031617816755,0.0,0.0,0.38611728270383094,0.34397030267653905
46,2,0.2676056338028169,0.8889777955591117,0.15294117647058825,0.7990049751243781,0.21047772905608123,0.0,0.8,0.24933234587849817,0.23668211520674895
47,0,0.6338028169014085,0.04740948189637927,0.23529411764705882,0.9129353233830846,0.5603507962150934,0.0,0.0,0.030583047195852694,0.4149914952190923
48,2,0.08450704225352113,0.4382876575315063,0.12941176470588237,0.7696517412935323,0.07218439879990769,0.0,0.0,0.043024417065014926,0.06492400890451398
49,2,0.04225352112676056,0.73874774954991,0.21176470588235294,0.6029850746268656,0.03161781675513501,0.0,0.0,0.0414394398438026,0.03505274302181472
